exp,n,em,f1,recall
1a,196,3.571428571428571,23.55017167678608,28.09768038084365
1b,196,3.571428571428571,26.99472121057451,28.22029586060198
2a,196,29.081632653061224,57.28265554290206,62.50712014742628
2b,196,32.142857142857146,59.85946801032115,58.57845952233708
3a,196,30.102040816326532,57.6147977585799,60.573349552941394
3a_v1_bad_examples,196,29.591836734693878,57.44006013511051,60.07054878228348
3b,196,31.63265306122449,59.336059906858566,58.421349059104145
3b_v1_bad_examples,196,29.591836734693878,54.862934535329835,52.50326912316707
